time ,power
206940,6258.061
206970,6256.4478
207000,6257.1782
207030,6256.687
207060,6266.4546
207090,6261.4336
207120,6256.8306
207150,6250.4185
207180,6247.7827
207210,6246.5771
207240,6242.4761
207270,6255.9629
207300,6282.9473
207330,6290.2568
207360,6284.0181
207390,6287.2139
207420,6289.5781
207450,6269.5713
207480,6256.4702
207510,6235.6055
207540,6232.0571
207570,6236.5127
207600,6234.8567
207630,6233.2007
207660,6228.3301
207690,6234.9658
207720,6278.2515
207750,6290.5259
207780,6288.4497
207810,6280.3926
207840,6287.7305
207870,6291.8506
207900,6288.3423
207930,6293.8462
207960,6317.8711
207990,6359.4482
208020,6378.9287
208050,6390.8271
208080,6049.9922
208110,6054.9106
208140,6049.5366
208170,6048.7466
208200,6042.0811
208230,6039.8208
208260,6043.0952
208290,6043.8291
208320,6037.9673
208350,6047.125
208380,6048.3608
208410,6045.0947
208440,6047.3911
208470,6041.7319
208500,6038.0977
208530,6021.6279
208560,6025.8311
208590,6011.7681
208620,6015.7036
208650,6016.0923
208680,6353.0542
208710,6344.4873
208740,6332.9951
208770,6309.8032
208800,6293.4932
208830,6292.4507
208860,7155.3662
208890,7928.5015
208920,7502.4121
208950,7540.7393
208980,7522.6987
209010,7495.3726
209040,7499.6138
209070,8391.5605
209100,8600.0488
209130,8631.1465
209160,7567.7915
209190,8771.9688
209220,8969.9355
209250,8975.0029
209280,8933.1016
209310,8961.2217
209340,9167.2861
209370,9317.3096
209400,7637.3735
209430,7650.5498
209460,8148.7007
209490,8646.8516
209520,8559.6221
209550,7673.6128
209580,7672.2163
209610,7687.6821
209640,7699.6025
209670,8660.2959
209700,8677.4805
209730,8705.6572
209760,8725.0518
209790,8846.2656
209820,8891.8516
209850,8733.1953
209880,8837.0859
209910,8827.1318
209940,8828.2246
209970,7671.0752
210000,7670.7456
210030,8840.582
210060,8666.543
210090,8791.5176
210120,8674.2861
210150,8563.1631
210180,7684.0088
210210,7685.8594
210240,7702.5229
210270,8669.7012
210300,8712.4326
210330,8783.2529
210360,8902.6992
210390,9111.4639
210420,9135.3906
210450,9111.377
210480,9167.0342
210510,7788.7808
210540,7772.2295
210570,7775.4858
210600,8725.4912
210630,8713.8047
210660,8740.9395
210690,8770.6553
210720,8898.9121
210750,9123.5479
210780,8793.8877
210810,9143.4404
210840,7830.8936
210870,7374.5972
210900,7347.25
210930,7348.4526
210960,7344.8892
210990,7339.9517
211020,7345.0488
211050,7344.6919
211080,7349.4922
211110,7342.897
211140,7339.7563
211170,7326.5815
211200,7317.22605
211230,7307.8706
211260,7293.1665
211290,7296.6382
211320,7570.5938
211350,7748.1333
211380,7795.6899
211410,7765.5532
211440,7738.7075
211470,7733.2114
211500,7718.1104
211530,7719.2632
211560,6301.2656
211590,6302.3877
211620,6291.6943
211650,6294.2183
211680,6290.2739
211710,6299.519
211740,6339.5728
211770,6336.2559
211800,6336.8232
211830,6338.585
211860,6337.4912
211890,6334.5977
211920,6334.3677
211950,6330.5195
211980,6323.5498
212010,6323.2896
212040,6321.6553
212070,6320.7529
212100,6325.5674
212130,6316.2402
212160,6320.2266
212190,6323.5889
212220,6324.7344
212250,6321.7065
212280,6322.4219
